2332;GATA GANGSTER;DADDY YANKEE & DON OMAR;REGGAETON
5380;EL AMANTE;DADDY YANKEE & J. ALVAREZ;REGGAETON
5297;LA NOCHE DE LOS DOS;DADDY YANKEE & NATALIA JIMENEZ;REGGAETON
6972;VEN CONMIGO;DADDY YANKEE & PRINCE ROYCE;REGGAETON
5290;GET LUCKY;DAFT PINK & PHARRELL WILLIAMS;POP
2625;ISLA PARA DOS;DAIKIRI;SALSA
2987;PASARELA;DALMATA;REGGAETON
5565;ECUADOR ECUATORIANO;DAMIANO;MUNDIAL
5566;ECUADOR SI SE PUEDE;DAMIANO;MUNDIAL
5252;16 A�ITOS;DANI MARTIN;BALADA
5266;CERO;DANI MARTIN;BALADA
5818;EMOCIONAL;DANI MARTIN;BALADA
4411;DESPACIO;DANIEL BETANCOURT;BALADA
4531;NO ME PIDAS TIEMPO;DANIEL BETANCOURT;BALADA
4584;SEDUCTORA;DANIEL BETANCOURT;BALADA
6178;CREO UNA ATMOSFERA;DANIEL CALVETI;BALADA
6290;LA NI�A DE TUS OJOS;DANIEL CALVETI;BALADA
6473;UN DIA MAS;DANIEL CALVETI;BALADA
6481;VENGO A DECIRTE;DANIEL CALVETI;CRISTIANA
6719;ISAIAS 46.3;DANIEL CALVETI;CRISTIANA
7031;LA NI�A DE TUS OJOS;DANIEL CALVETI;BALADA
7089;ISAIAS 46,3;DANIEL CALVETI;BALADA
7140;VENGO A DECIRTE;DANIEL CALVETI;BALADA
7166;CREO UNA ATMOSFERA;DANIEL CALVETI;BALADA  GOSPEL
7199;UN DIA MAS;DANIEL CALVETI;BALADA  GOSPEL
6644;EL BESITO CACHICHURRIS;DANIEL LUNA;CUMBIA
97;CARA DE GITANA;DANIEL MAGAL;BALADA
3472;DONDE ANDARAS AMOR;DANIEL MAGAL;BALADA
3529;NOSTALGICA;DANIEL MAGAL;BALADA
3711;DE TANTO MIRAR TUS OJOS;DANIEL MAGAL;BALADA
5022;HERMOSA;DANIEL SANCHEZ;BALADA
5050;UNA VEZ MAS;DANIEL SANCHEZ;BALADA
2068;EN EL JUEGO DE LA VIDA;DANIEL SANTOS;BOLERO
2579;SE VENDE UNA CASITA;DANIEL SANTOS;BOLERO
4850;ZAMBA PARA OLVIDAR;DANIEL TORO;ZAMBA
1417;DE MI ENAMORATE;DANIELA ROMO;BALADA
1602;ABUSO;DANIELA ROMO;BALADA
1629;PARA QUE TE QUEDES CONMIGO;DANIELA ROMO;BALADA
1690;TODO TODO;DANIELA ROMO;BALADA
2481;QUIERO AMANECER CON ALGUIEN;DANIELA ROMO;BALADA
2563;POBRE SECRETARIA;DANIELA ROMO;BALADA
2753;CELOS;DANIELA ROMO;BALADA
2838;QUE VENGAN LOS BOMBEROS;DANIELA ROMO;CUMBIA
3175;MENTIRAS;DANIELA ROMO;BALADA
3450;YO NO TE PIDO LA LUNA;DANIELA ROMO;BALADA
3674;LA OCASION PARA AMARNOS;DANIELA ROMO;BALADA
4211;EXPLORAME;DANIELA ROMO;BALADA
4464;CUANDO HAY AMOR NO HAY PECADO;DANIELA ROMO;BALADA
6001;AMADA MAS QUE NUNCA;DANIELA ROMO;BALADA
6146;BENDITO JESUS;DANILO MONTERO;CRISTIANA
6157;CANTARE TU AMOR;DANILO MONTERO;BALADA
6204;DIOS;DANILO MONTERO;BALADA
6241;ERES TODO PODEROSO;DANILO MONTERO;BALADA
6494;YO CONFIO;DANILO MONTERO;BALADA
7024;ERES TODOPODEROS;DANILO MONTERO;BALADA
7059;BENDITO JESUS;DANILO MONTERO;BALADA
7146;YO CONFIO;DANILO MONTERO;BALADA
7163;CANTARE TU AMOR;DANILO MONTERO;BALADA  GOSPEL
7170;DIOS;DANILO MONTERO;BALADA  GOSPEL
3809;COMO DECIR;DANILO PARRA;BALADA
3955;CUANDO VUELVA A VERLA;DANILO PARRA;POP
6213;EL BUEN PASTOR;DANNY BERRIOS;BALADA
7022;EL BUEN PASTOR;DANNY BERRIOS;BALADA
148;ESTOY ENFERMO DE AMOR;DANNY CABUCHE;BALADA
2078;SOY TU HOMBRE ENAMORADO;DANNY CABUCHE;BALADA
3320;CUANDO ESTES CON EL;DANNY CABUCHE;BALADA
3336;QUE HAY QUE HACER PARA OLVIDAR;DANNY CABUCHE;BALADA
3925;MEMORIAS DE UN GRAN AMOR;DANNY CABUCHE;BALADA
4149;Y HOY ME RECUERDAS;DANNY CABUCHE;BALADA
2891;SE QUE ME ENGA�ASTE UN DIA;DANNY DANIEL;BALADA
4668;EL VALS DE LAS MARIPOSAS;DANNY DANIEL;VALS
5346;VIENTO DE OTO�O;DANNY DANIEL;BALADA
6623;DECIR TE QUIERO;DANNY DANIEL;BALADA
7374;ME REHUSO;DANNY OCEAN;REGUETON
434;EXTRA�O TODO AQUELLO QUE ERA MIO;DANNY RIVERA;BALADA
1001;MADRIGAL;DANNY RIVERA;BALADA
1454;AMAR O MORIR;DANNY RIVERA;BALADA
3218;GRACIAS MI AMOR;DANNY RIVERA;BALADA
82;POR EL AMOR DE UNA MUJER;DANY DANIEL;BALADA
417;HOY TENGO GANAS DE TI;DANY DANIEL;BALADA
1221;AMIGOS EN LA BARRA;DARIO GOMEZ;RANCHERA
2153;LA TIRANA;DARIO GOMEZ;CORRIDO
3165;ESTA NAVIDAD NO ES MIA;DARIO GOMEZ;BOLERO
3318;CORAZONADA;DARIO GOMEZ;RANCHERA
3426;ME TIRE EL MATRIMONIO;DARIO GOMEZ;RANCHERA
3571;MI RENUNCIA;DARIO GOMEZ;CORRIDO
3577;NUEVE A�OS DE SOLEDAD;DARIO GOMEZ;CORRIDO
3607;AQU� SOBRO YO;DARIO GOMEZ;RANCHERA
4017;ENTRE COMILLAS;DARIO GOMEZ;CORRIDO
4067;LAS DESPECHADAS;DARIO GOMEZ;CORRIDO
4688;SOBREVIVIRE;DARIO GOMEZ;RANCHERA
1323;SI ENTENDIERAS;DARIO JAVIER;BALADA
20;MI VIENTO EN SOLEDAD;DARWIN;BALADA
219;RECUERDOS DE AQUEL TIEMPO;DARWIN;BALADA
260;YO ESPERARE, TU CAMBIARAS;DARWIN;BALADA
414;QUE SEAS FELIZ;DARWIN;BALADA
729;PIENSALO BIEN;DARWIN;BALADA
900;NO POR FAVOR;DARWIN;BALADA
949;LA ULTIMA CANCION;DARWIN;BALADA
1996;A ESCONDIDAS TE VERE;DARWIN;BALADA
3512;CREI;DAVID;BALADA
822;DIGALE;DAVID BISBAL;BALADA
933;BULERIA;DAVID BISBAL;FLAMENCO
1000;CORAZON LATINO;DAVID BISBAL;POP
1482;AVE MARIA;DAVID BISBAL;POP
1493;SOLO OTRA VEZ;DAVID BISBAL;BALADA
1559;MIENTEME;DAVID BISBAL;BALADA
2570;QUIEN ME IBA A DECIR;DAVID BISBAL;POP
2716;DESNUDATE MUJER;DAVID BISBAL;BALADA
3959;ESCLAVO DE TUS BESOS;DAVID BISBAL;BALADA
4028;MI PRINCESA;DAVID BISBAL;BALADA
4301;24 HORAS;DAVID BISBAL;POP
4779;LLORARE LAS PENAS;DAVID BISBAL;POP
5814;DIEZ MIL MANERAS;DAVID BISBAL;POP
5822;ESTA AUSENCIA;DAVID BISBAL;BALADA
5893;OYE EL BOOM;DAVID BISBAL;POP
5937;PERMITAME SE�ORA;DAVID BISBAL;BALADA
5983;NO AMANECE;DAVID BISBAL;BALADA
6002;AMAR ES LO QUE QUIERO;DAVID BISBAL;BALADA
6095;QUIERO PERDERME EN TU CUERPO;DAVID BISBAL;BALADA
6432;SILENCIO;DAVID BISBAL;BALADA
6469;TU Y YO;DAVID BISBAL;BALADA
6457;TU AUSENCIA;DAVID BISBAL & ALICIA VILLARREAL;POP
1725;VUELVO A TI;DAVID BISBAL & CHENOA;BALADA
1590;DOS HOMBRES Y UN DESTINO;DAVID BUSTAMANTE;BALADA
3602;AL FILO DE LA IRREALIDAD;DAVID BUSTAMANTE;BALADA
3662;DEVUELVEME LA VIDA;DAVID BUSTAMANTE;POP
3761;COBARDE;DAVID BUSTAMANTE;BALADA
4076;NO SOY SUPERMAN;DAVID BUSTAMANTE;BALADA
5183;INTOXICADO;DAVID CHUMA�A;BALADA
5216;QUE TE PARECE;DAVID CHUMA�A;BALADA
5237;TU RECUERDO EN UN CIGARRILLO;DAVID CHUMA�A;BALADA
5689;PRECISAMENTE AHORA;DAVID DE MARIA;BALADA
4447;WHEN LOVE TAKES OVER;DAVID GUETTA;POP
4525;MEMORIES;DAVID GUETTA;ELECTRONICA
5324;SEXY CHICK;DAVID GUETTA;ELECTRONICA
5589;PLAY HARD;DAVID GUETTA;ELECTRONICA
6161;CENIZA Y FUEGO;DAVID HARO;BALADA
812;AQUEL VIEJO MOTEL;DAVID PAVON;SALSA
4355;CARA DURA;DAVID PAVON;SALSA
4400;Y NOS AMAMOS;DAVID PAVON;SALSA
6423;SI ME VES LLORAR POR TI;DAVID PAVON;SALSA
5235;TITANIO;DAVIG GUETTA;ELECTRONICA
6272;IN THE LIGHT;DC TALK;POP
7179;IN THE LIGHT;DC TALK;BALADA  GOSPEL
498;LOST IN YOUR EYES;DEBBIE GIBSON;BALADA INGLES
2330;FOOLISH BEAT;DEBBIE GIBSON;BALADA INGLES
6202;DIOS ESTA EN ESTE LUGAR;DEBORAH PRUNEDA;BALADA
7171;DIOS ESTA EN ESTE LUGAR;DEBORAH PRUNEDA;BALADA  GOSPEL
4020;HIGHWAY STAR;DEEP PURPLE;ROCK
4117;HUSH;DEEP PURPLE;ROCK
3070;HYSTERIA;DEF LEPPARD;ROCK
3086;POUR SOME SUGAR ON ME;DEF LEPPARD;ROCK
3105;ANIMAL;DEF LEPPARD;ROCK
199;YO SIN TU AMOR;DEL LIMITE;CUMBIA
6318;MAJESTAD;DELIRIOUS;BALADA
7185;MAJESTAD;DELIRIOUS;BALADA  GOSPEL
4422;JESAHEL;DELIRIUM;BALADA
5919;LET IT GO;DEMI LOVATO;BALADA INGLES
4387;SE�ORA SE�ORA;DENISSE DE KALAFE;BALADA
4939;SI NO LA TENGO;DIABLOS LOCOS;SALSA
5460;SI NO LA TENGO;DIABLOS LOCOS;SALSA
5142;THE LOOK OF LOVE;DIANA KRALL;BALADA INGLES
4644;THANK YOU;DIDO;POP
5399;HASTA EL FIN DEL MUNDO;DIEGO DIBOS & MARICARMEN MARIN;BALADA
3089;RESPONDE;DIEGO GONZALES;BALADA
3424;MAS;DIEGO GONZALES;BALADA
5567;ECUADOR SIEMPRE PRIMERO;DIEGO LABADIA;MUNDIAL
4057;EL ARTISTA;DIEGO REALPE;VALS
1484;COLOR ESPERANZA;DIEGO TORRES;BALADA
1621;UNA GOTITA DE TU AMOR;DIEGO TORRES;BALADA
3187;QUE NO ME PIERDA;DIEGO TORRES;BALADA
4040;SE QUE YA NO VOLVERAS;DIEGO TORRES;BALADA
4095;TRATAR DE ESTAR MEJOR;DIEGO TORRES;BALADA
4136;SUE�OS;DIEGO TORRES;POP
4319;GUAPA;DIEGO TORRES;POP
5352;ALGUIEN LA VIO PARTIR;DIEGO TORRES;BALADA
5435;NO LO SO�E;DIEGO TORRES;BALADA
5474;TODO CAMBIA;DIEGO TORRES;BALADA
5512;DONDE VAN;DIEGO TORRES;BALADA
6125;ANDANDO;DIEGO TORRES;POP
6156;CANTAR HASTA MORIR;DIEGO TORRES;BALADA
6261;HASTA CUANDO;DIEGO TORRES;POP
5152;ABRIENDO CAMINOS;DIEGO TORRES & JUAN LUIS GUERRA;BALADA
775;VOLVERE;DIEGO VERDAGUER;BALADA
1162;LA LADRONA;DIEGO VERDAGUER;BALADA
3350;YO NO LLORO POR LLORAR;DIEGO VERDAGUER;BALADA
3848;USTED QUE HARIA;DIEGO VERDAGUER;BALADA
4497;VOY A CONQUISTARTE;DIEGO VERDAGUER;BALADA
4888;QUIEN DE LOS DOS SERA;DIEGO VERDAGUER;RANCHERA
6225;EL PASADISCOS;DIEGO VERDAGUER;BALADA
6370;NO VOLVERAS;DIEGO VERDAGUER;RANCHERA
6807;NADIE COMO TU;DIGNA ISABEL;CUMBIA
6883;SE ACABO;DIGNA ISABEL;CUMBIA
249;MIL A�OS;DINO;BALADA
3358;DECIDETE POR MI;DINO;BALADA
3422;LA IRREMPLAZABLE;DIOMEDES DIAS;VALLENATO
1394;POR QUE TE AMO;DIOMEDES DIAZ;VALLENATO
2019;QUE HUBO LINDA;DIOMEDES DIAZ;VALLENATO
2406;AMARTE MAS NO PUEDO;DIOMEDES DIAZ;VALLENATO
3778;LA REINA;DIOMEDES DIAZ;VALLENATO
4079;OYE BONITA;DIOMEDES DIAZ;VALLENATO
4241;SIN MEDIR DISTANCIAS;DIOMEDES DIAZ;VALLENATO
4791;SIN SABER QUE ME ESPERA;DIOMEDES DIAZ;VALLENATO
4920;EN TU CUMPLEA�OS;DIOMEDES DIAZ;VALLENATO
5616;EL CONDOR HERIDO;DIOMEDES DIAZ;VALLENATO
5685;MI PRIMERA CANA;DIOMEDES DIAZ;VALLENATO
5783;MAS ALLA DEL CIELO;DIOMEDES DIAZ;VALLENATO
5905;BRINDO CON EL ALMA;DIOMEDES DIAZ;VALLENATO
5917;LA FALLA FUE TUYA;DIOMEDES DIAZ;VALLENATO
5925;MI MUCHACHO;DIOMEDES DIAZ;VALLENATO
6140;AY LA VIDA;DIOMEDES DIAZ;VALLENATO
6268;HIJA;DIOMEDES DIAZ;VALLENATO
2768;ILUSIONES;DIOMEDEZ DIAZ;VALLENATO
496;WALK OF LIKE;DIRE STRAITS;BALADA INGLES
4268;THE SULTANS OF SWING;DIRE STRAITS;ROCK
3321;DE AMOR Y DE MIEL;DIVEANA;MERENGUE
3326;FRIO Y DISTANTE;DIVEANA;MERENGUE
6828;NOCHES DE MEDIA LUNA;DIVEANA;MERENGUE
3849;VOLVERE;DLG;BACHATA
4021;JULIANA;DLG;SALSA
5153;ACUYUYE;DLG;SALSA
5206;NO MORIRA;DLG;SALSA
2997;VEN TU;DOMENIC MARTE;BACHATA
5964;DESPUES DE TI NO HAY NADA;DOMENIC MARTE;BACHATA
6169;COMO HAS HECHO;DOMENICO MODUGNO;BALADA
6475;UN PUNTAPIE A LA CIUDAD;DOMENICO MODUGNO;BALADA
6135;ARRANCAME LA VIDA;DOMINGO LUGO;SALSA
6797;MOSAICO MANABITA;DON MEDARDO;CUMBIA
6803;MOSAICO, SUE�O CONTIGO;DON MEDARDO;CUMBIA
2545;LADRON DE AMOR;DON MEDARDO Y SUS PLAYERS;CUMBIA
5546;SOLO TU;DON MEDARDO Y SUS PLAYERS;CUMBIA
6599;COMO YO LE DOY;DON MIGUELO;REGGAETON
1068;CUENTALE;DON OMAR;REGGAETON
1112;POBRE DIABLA;DON OMAR;REGGAETON
1460;DALE DON DALE;DON OMAR;REGGAETON
1751;EL REGGAETON LATINO;DON OMAR;REGGAETON
1944;LUNA;DON OMAR;REGGAETON
3031;SALIO EL SOL;DON OMAR;REGGAETON
5257;AYER LA VI;DON OMAR;REGGAETON
5357;AUNQUE TE FUISTE;DON OMAR;REGGAETON
6124;ANDA SOLA;DON OMAR;REGGAETON
6127;ANGELITO;DON OMAR;REGGAETON
6207;DIVA VIRTUAL;DON OMAR;REGGAETON
6410;REGGAETON LATINO;DON OMAR;REGGAETON
4266;DANZA KUDURO;DON OMAR & LUCENZO;REGGAETON
3699;TIRITANDO;DONALD;BALADA
457;ESTOY ENAMORADO;DONATO & ESTEFANO;BALADA
2764;ERES MI DIOS Y MI CRUZ;DONATO & ESTEFANO;BALADA POP
4042;SIN TI;DONATO & ESTEFANO;BALADA
4640;SOMOS TU Y YO;DONATO & ESTEFANO;BALADA
2611;DE HOMBRE A MUJER;DONATO Y ESTEFANO;BALADA
6493;YA VIENE LA RECOMPENSA;DORIS MACHIN;MERENGUE
7200;YA VIENE LA RECOMPENSA;DORIS MACHIN;BALADA  GOSPEL
6535;AMARGO Y DULCE;DORIS SALAS;CUMBIA
7269;AMARGO Y DULCE;DORIS SALAS;CUMBIA
7322;JHON ALEX CASTA�O;DOS RAZONES;CORRIDO
6431;SIGO ROMANTICO;DOUGLAS;BOLERO
5200;MI CORAZON NO ENTIENDE;DOUGLAS BASTIDAS;BALADA
6661;EL PODER NUESTRO ES;DRAGON BALL Z;ANIME
4625;MI VIDA ERES TU;DRAGON Y CABALLERO;BALADA
4646;TU SIN MI;DREAD MAR I;REGGAE
5639;SALVAME;DREAD MAR I;REGGAE
5654;ARBOL SIN HOJAS;DREAD MAR I;REGGAE
5683;MAS ALLA DE TUS OJOS;DREAD MAR I;REGGAE
6122;AMOR EN SILENCIO;DULCE;BALADA
4321;INEVITABLE;DULCE MARIA;POP
5752;ANTES QUE SALGA EL SOL;DULCE MARIA;POP
2801;A TIENTAS;DUNCAN DHU;BALADA
2846;UNA CALLE DE PARIS;DUNCAN DHU;ROCK LATINO
4901;A UN MINUTO DE TI;DUNCAN DHU;ROCK LATINO
5976;LA CASA AZUL;DUNCAN DHU;ROCK
6015;ESOS OJOS NEGROS;DUNCAN DHU;BALADA
6032;PALABRAS SIN NOMBRE;DUNCAN DHU;ROCK
6064;CUANDO LLEGUE EL FIN;DUNCAN DHU;BALADA
62;EN ALGUN LUGAR;DUNCAN DU;ROCK LATINO
3066;EL ARBOL DE MI CASA;DUO AGUAYO HUAYAMABE;VALS
3081;PALOMITA ERRANTE;DUO AGUAYO HUAYAMABE;PASACALLE
3084;POR QUE DIOS MIO;DUO AGUAYO HUAYAMABE;VALS
5767;EL MAICITO;DUO BENITEZ & VALENCIA;PASACALLE
799;ESOS OJITOS NEGROS;DUO DINAMICO;BALADA
2410;AMOR MISTERIOSO;DUO DINAMICO;BALADA
2562;PERDONAME;DUO DINAMICO;BALADA
2853;AMOR DE VERANO;DUO DINAMICO;BALADA
2990;RESISTIRE;DUO DINAMICO;BALADA
3650;YO BUSCO UNA MUCHACHA COMO TU;DUO DINAMICO;BALADA
4045;TU VACILANDOME;DUO DINAMICO;BALADA
4289;QUISIERA SER;DUO DINAMICO;BALADA
6673;ENTRE LA ESPADA Y LA PARED;DUO MANZANILLA;BALADA
7228;ENTRE LA ESPADA Y LA PARED;DUO MANZANILLA;BALADA
2904;A�ORANDO MI TIERRA;DUO SAAVEDRA RUBIRA;PASACALLE
3032;SAVE A PRAYER;DURAN DURAN;BALADA INGLES
6718;IS THERE SOMETHING I SHOULD KNOW;DURAN DURAN;NEW WAVE
6238;ENAMORATE;DVICIO;BALADA
6278;JUSTO AHORA;DVICIO;BALADA
458;CORAZON MAGICO;DYANGO;BALADA
1187;HOY HE EMPEZADO A QUERERTE;DYANGO;BALADA
1360;CUANDO QUIERAS DONDE QUIERAS;DYANGO;BALADA
1363;EL PRIMER BESO;DYANGO;BALADA
1364;ESA MUJER;DYANGO;BALADA
1365;BRANDY;DYANGO;BALADA
1367;NOSTALGIAS;DYANGO;BALADA
2382;QUERER Y PERDER;DYANGO;BALADA
2436;EL QUE MAS TE HA QUERIDO;DYANGO;BALADA
2478;POR VOLVERTE A VER;DYANGO;BALADA
4214;HAY ALGO EN ELLA;DYANGO;BALADA
4342;SOLTERO Y LIBRE;DYANGO;BALADA
4701;A DONDE VAS AMOR;DYANGO;BALADA
4723;LAS REGLAS DEL JUEGO;DYANGO;BALADA
4860;CADA DIA ME ACUERDO MAS DE TI;DYANGO;BALADA
1929;ESE HOMBRE;DYANGO & PIMPINELA;BALADA
4469;ESE HOMBRE PARTE 2;DYANGO & PIMPINELA;BALADA
7371;SHAPE OF YOU;ED SHEERAN;POP
2474;PEGAME TU VICIO;EDDIE HERRERA;MERENGUE
813;QUE LOCURA ENAMORARME;EDDIE SANTIAGO;SALSA
978;ME FALLASTE;EDDIE SANTIAGO;SALSA
1040;NADIE MEJOR QUE TU;EDDIE SANTIAGO;SALSA
1322;TU ME HACES FALTA;EDDIE SANTIAGO;SALSA
1338;MIA;EDDIE SANTIAGO;SALSA
1645;TU ME QUEMAS;EDDIE SANTIAGO;SALSA
2190;TODO EMPEZO;EDDIE SANTIAGO;SALSA
3819;FANTASIA HERIDA;EDDIE SANTIAGO;SALSA
3025;ME SABE A POCO;EDDY HERRERA;MERENGUE
3053;AJENA;EDDY HERRERA;MERENGUE
3584;SI TU AMOR NO VUELVE;EDDY HERRERA;MERENGUE
4313;DEMASIADO ROMANTICA;EDDY HERRERA;MERENGUE
4489;REMEMBER;EDDY HERRERA;MERENGUE
3001;A DORMIR JUNTITOS;EDDY HERRERA & LIZ;MERENGUE
5503;ANTIDOTO Y VENENO;EDDY SANTIAGO;SALSA
3168;HASTA EL SOL DE HOY;EDGAR JOEL;SALSA
4271;HECHIZO DE LUNA;EDGAR JOEL;SALSA
2704;ACEPTAME COMO SOY;EDNITA NAZARIO;BALADA
2707;APRENDERE;EDNITA NAZARIO;BALADA
2795;TU SIN MI;EDNITA NAZARIO;BALADA
3952;A QUE NO LE CUENTAS;EDNITA NAZARIO;BALADA
4007;COMO ANTES;EDNITA NAZARIO;BALADA
4013;DEVUELVEME;EDNITA NAZARIO;BALADA
4106;TE SIGO ESPERANDO;EDNITA NAZARIO;BALADA
4144;UN CORAZON HECHO PEDAZOS;EDNITA NAZARIO;BALADA
4171;MAS GRANDE QUE GRANDE;EDNITA NAZARIO;BALADA
4175;PIENSO EN TI;EDNITA NAZARIO;BALADA
4182;QUIERO QUE ME HAGAS EL AMOR;EDNITA NAZARIO;BALADA
4220;LO QUE SON LAS COSAS;EDNITA NAZARIO;BALADA
1372;MANABI;EDUARDO BRITO;PASILLO
3468;CORAZON QUE NO OLVIDA;EDUARDO BRITO;PASILLO
4032;NO TE PODRE OLVIDAR;EDUARDO BRITO;PASILLO
4065;LA MUJER QUE NUNCA SO�E;EDUARDO CAPETILLO;BALADA
4449;YO NO SE PERDER;EDUARDO VERASTEGUI;BALADA
5311;PAN Y MANTEQUILLA;EFECTO PASILLO;POP
6150;BUSCANDO UNA LUZ;EFECTO PASILLO;POP
6265;HECHO CON TUS SUE�OS;EFECTO PASILLO;POP
6817;NO IMPORTA QUE LLUEVA;EFECTO PASILLO;POP
4952;A MI NA MA;EL ARREBATO;BALADA
6059;BESOS;EL CANTO DEL LOCO;ROCK
4672;ESTOY PERDIDO;EL CHAVAL;BACHATA
6726;LA CARTA FINAL;EL FLACO ALVARADO;NACIONAL
1077;AZUQUITA PA EL CAFE;EL GRAN COMBO;SALSA
1691;NO HAY CAMA PA TANTA GENTE;EL GRAN COMBO;SALSA
2000;ASI SON;EL GRAN COMBO;SALSA
2452;LA FIESTA DE PILITO;EL GRAN COMBO;SALSA
2836;QUINCE A�OS;EL GRAN COMBO;SALSA
3123;ME LIBERE;EL GRAN COMBO;SALSA
4097;UN VERANO EN NEW YORK;EL GRAN COMBO;SALSA
4147;VAGABUNDO;EL GRAN COMBO;SALSA
4519;JULIA;EL GRAN COMBO;SALSA
4685;SE NOS PERDIO EL AMOR;EL GRAN COMBO;SALSA
4744;TIMBALERO;EL GRAN COMBO;SALSA
4766;DON GOYO;EL GRAN COMBO;SALSA
331;ALZA TU COPA;EL GRECO;BALADA
1508;LA CASA NUEVA;EL TEMUCANO TITO FERNANDEZ;VALS
3340;TRISTE CANCION DE AMOR;EL TRI;ROCK
5634;NUNCA DIGAS QUE NO;EL TRI;PROTESTA
5740;OYE CANTINERO;EL TRI;BLUES
3591;TELEPHONE LINE;ELECTRIC LIGHT ORCHESTA;BALADA INGLES
1918;DURMIENDO CON LA LUNA;ELEFANTE;BALADA
1950;MENTIROSA;ELEFANTE;POP
2221;EL ABANDONADO;ELEFANTE;POP
3491;SABOR A CHOCOLATE;ELEFANTE;POP
3803;ANGEL;ELEFANTE;POP
3850;Y TU NO ESTAS;ELEFANTE;BALADA
6287;LA HISTORIA SIN FIN;ELEFANTE;BALADA
662;ASI ES LA VIDA;ELEFANTE  REYLI;POP
1292;DE LA NOCHE A LA MA�ANA;ELEFANTE  REYLI;POP
3590;TE NECESITO TANTO AMOR;ELIO ROCA;BALADA
3600;YO QUIERO DIBUJARTE;ELIO ROCA;BALADA
6532;AMANDOTE;ELISA REGO;BALADA
2086;CUANDO LOS SAPOS BAILEN FLAMENCO;ELLA BAILA SOLA;BALADA
2303;AMORES DE BARRA;ELLA BAILA SOLA;BALADA
2350;LO ECHAMOS A SUERTE;ELLA BAILA SOLA;BALADA
6315;LOVE ME LIKE YOU DO;ELLIE GOULDING;BALADA INGLES
419;SACRIFICE;ELTHON JOHN;BALADA INGLES
6814;NIKITA;ELTON JOHN;BALADA INGLES
306;VEN A MI;ELVIS CRESPO;MERENGUE
523;LINDA ' HE;ELVIS CRESPO;MERENGUE
891;PINTAME;ELVIS CRESPO;MERENGUE
1291;SUAVEMENTE;ELVIS CRESPO;MERENGUE
1522;TU SONRISA;ELVIS CRESPO;MERENGUE
2116;BANDIDA;ELVIS CRESPO;MERENGUE
2379;PRINCESITA;ELVIS CRESPO;MERENGUE
2767;HORA ENAMORADA;ELVIS CRESPO;MERENGUE
5066;LA FOTO SE ME BORRO;ELVIS CRESPO;MERENGUE
5210;PEGADITO SUAVECITO;ELVIS CRESPO;MERENGUE
5498;YO ME MORIRE;ELVIS CRESPO;MERENGUE
5699;YO NO SOY UN MONSTRUO;ELVIS CRESPO & ILEGALES;MERENGUE
1088;AJENA;ELVIS MARTINEZ;BACHATA
1235;ASI FUE;ELVIS MARTINEZ;BACHATA
2247;ME SEGUIRAS BUSCANDO;ELVIS MARTINEZ;BACHATA
6768;MAESTRA;ELVIS MARTINEZ;BACHATA
6907;SOLO TRES PALABRAS;ELVIS MARTINEZ;BACHATA
2311;CAN'T HELP FALLING IN LOVE;ELVIS PRESLEY;BALADA INGLES
2336;HOUND DOG;ELVIS PRESLEY;ROCK AND ROLL
2355;LOVE ME TENDER;ELVIS PRESLEY;BALADA INGLES
2813;DON'T BE CRUEL;ELVIS PRESLEY;ROCK
532;SENTIRME VIVO;EMANUEL ORTEGA;ROCK LATINO
3501;A ESCONDIDAS;EMANUEL ORTEGA;BALADA
3023;LEJANO AMOR;EMBAJADORES CRIOLLOS;VALS
2772;LA ULTIMA NOCHE;EMBRUJO VALLENATO;VALLENATO
5664;DESDE QUE SE FUE;EMBRUJO VALLENATO;VALLENATO
6706;HIMNO DE EMELEC;EMELEC;FUTBOL
7214;HIMNO DE EMELEC;EMELEC;FUTBOL
513;SOLEDAD;EMILIO JOSE;BALADA
696;NUESTRA PLAYA;EMILIO JOSE;BALADA
1049;UN BOLERO;EMILIO JOSE;BOLERO
2557;NI CONTIGO NI SIN TI;EMILIO JOSE;BALADA
4781;MI BARCA;EMILIO JOSE;BALADA
4078;NOT AFRAID;EMINEM;POP
239;ESTE TERCO CORAZON;EMMANUEL;BALADA
677;TODO SE DERRUMBO;EMMANUEL;BALADA
681;TENGO MUCHO Q APRENDER DE TI;EMMANUEL;BALADA
682;QUIERO DORMIR CANSADO;EMMANUEL;BALADA
685;TU Y YO;EMMANUEL;BALADA
818;EL DIA QUE PUEDAS;EMMANUEL;BALADA
1206;POBRE DIABLO;EMMANUEL;BALADA
2541;INSOPORTABLEMENTE BELLA;EMMANUEL;BALADA
2626;LA CHICA DE HUMO;EMMANUEL;BALADA
3060;CON OLOR A HIERBA;EMMANUEL;BALADA
3215;ESTA TRISTE GUITARRA;EMMANUEL;BALADA
3249;VEN CON EL ALMA DESNUDA;EMMANUEL;BALADA
4203;BELLA SE�ORA;EMMANUEL;BALADA
4208;DETENEDLA YA;EMMANUEL;BALADA
4772;ESO ERA LA VIDA;EMMANUEL;BALADA
5401;HAY QUE ARRIMAR EL ALMA;EMMANUEL;BALADA
5449;QUE SERA;EMMANUEL;BALADA
5491;VAMOS A AMARNOS DESPACIO;EMMANUEL;BALADA
5523;LA ULTIMA LUNA;EMMANUEL;BALADA
5803;AMOR SIN FINAL;EMMANUEL;BALADA
